petal_length,petal_width,species,setosa,,,,petal_length,petal_width,species,versicolor,,,,petal_length,petal_width,species,virginica,,,petal_length,setosa,versicolor,virginica,,,,setosa,versicolor,virginica,,,
1.4,0.2,setosa,1.414213562,,,,4.7,1.4,versicolor,4.904079934,,,,6,2.5,virginica,6.5,,,1.4,0.2,,,,,1,1.414213562,4.904079934,6.5,2,24.05,42.25
1.4,0.2,setosa,1.414213562,,,,4.5,1.5,versicolor,4.74341649,,,,5.1,1.9,virginica,5.44242593,,,1.4,0.2,,,,,2,1.414213562,4.74341649,5.44242593,2,22.5,29.62
1.3,0.2,setosa,1.315294644,,,,4.9,1.5,versicolor,5.12445119,,,,5.9,2.1,virginica,6.262587325,,,1.3,0.2,,,,,3,1.315294644,5.12445119,6.262587325,1.73,26.26,39.22
1.5,0.2,setosa,1.513274595,,,,4,1.3,versicolor,4.205948169,,,,5.6,1.8,virginica,5.882176468,,,1.5,0.2,,,,,4,1.513274595,4.205948169,5.882176468,2.29,17.69,34.6
1.4,0.2,setosa,1.414213562,,,,4.6,1.5,versicolor,4.838388161,,,,5.8,2.2,virginica,6.203224968,,,1.4,0.2,,,,,5,1.414213562,4.838388161,6.203224968,2,23.41,38.48
1.7,0.4,setosa,1.74642492,,,,4.5,1.3,versicolor,4.684015371,,,,6.6,2.1,virginica,6.926037828,,,1.7,0.4,,,,,6,1.74642492,4.684015371,6.926037828,3.05,21.94,47.97
1.4,0.3,setosa,1.431782106,,,,4.7,1.6,versicolor,4.964876635,,,,4.5,1.7,virginica,4.810405388,,,1.4,0.3,,,,,7,1.431782106,4.964876635,4.810405388,2.05,24.65,23.14
1.5,0.2,setosa,1.513274595,,,,3.3,1,versicolor,3.44818793,,,,6.3,1.8,virginica,6.5520989,,,1.5,0.2,,,,,8,1.513274595,3.44818793,6.5520989,2.29,11.89,42.93
1.4,0.2,setosa,1.414213562,,,,4.6,1.3,versicolor,4.780167361,,,,5.8,1.8,virginica,6.07289058,,,1.4,0.2,,,,,9,1.414213562,4.780167361,6.07289058,2,22.85,36.88
1.5,0.1,setosa,1.503329638,,,,3.9,1.4,versicolor,4.143669871,,,,6.1,2.5,virginica,6.59241989,,,1.5,0.1,,,,,10,1.503329638,4.143669871,6.59241989,2.26,17.17,43.46
1.5,0.2,setosa,1.513274595,,,,3.5,1,versicolor,3.640054945,,,,5.1,2,virginica,5.47813837,,,1.5,0.2,,,,,11,1.513274595,3.640054945,5.47813837,2.29,13.25,30.01
1.6,0.2,setosa,1.61245155,,,,4.2,1.5,versicolor,4.459820624,,,,5.3,1.9,virginica,5.630275304,,,1.6,0.2,,,,,12,1.61245155,4.459820624,5.630275304,2.6,19.89,31.7
1.4,0.1,setosa,1.403566885,,,,4,1,versicolor,4.123105626,,,,5.5,2.1,virginica,5.887274412,,,1.4,0.1,,,,,13,1.403566885,4.123105626,5.887274412,1.97,17,34.66
1.1,0.1,setosa,1.104536102,,,,4.7,1.4,versicolor,4.904079934,,,,5,2,virginica,5.385164807,,,1.1,0.1,,,,,14,1.104536102,4.904079934,5.385164807,1.22,24.05,29
1.2,0.2,setosa,1.216552506,,,,3.6,1.3,versicolor,3.827531842,,,,5.1,2.4,virginica,5.636488268,,,1.2,0.2,,,,,15,1.216552506,3.827531842,5.636488268,1.48,14.65,31.77
1.5,0.4,setosa,1.55241747,,,,4.4,1.4,versicolor,4.617358552,,,,5.3,2.3,virginica,5.77754273,,,1.5,0.4,,,,,16,1.55241747,4.617358552,5.77754273,2.41,21.32,33.38
1.3,0.4,setosa,1.360147051,,,,4.5,1.5,versicolor,4.74341649,,,,5.5,1.8,virginica,5.787054518,,,1.3,0.4,,,,,17,1.360147051,4.74341649,5.787054518,1.85,22.5,33.49
1.4,0.3,setosa,1.431782106,,,,4.1,1,versicolor,4.220189569,,,,6.7,2.2,virginica,7.051950085,,,1.4,0.3,,,,,18,1.431782106,4.220189569,7.051950085,2.05,17.81,49.73
1.7,0.3,setosa,1.72626765,,,,4.5,1.5,versicolor,4.74341649,,,,6.9,2.3,virginica,7.273238618,,,1.7,0.3,,,,,19,1.72626765,4.74341649,7.273238618,2.98,22.5,52.9
1.5,0.3,setosa,1.529705854,,,,3.9,1.1,versicolor,4.052159918,,,,5,1.5,virginica,5.220153254,,,1.5,0.3,,,,,20,1.529705854,4.052159918,5.220153254,2.34,16.42,27.25
1.7,0.2,setosa,1.711724277,,,,4.8,1.8,versicolor,5.126402247,,,,5.7,2.3,virginica,6.146543744,,,1.7,0.2,,,,,21,1.711724277,5.126402247,6.146543744,2.93,26.28,37.78
1.5,0.4,setosa,1.55241747,,,,4,1.3,versicolor,4.205948169,,,,4.9,2,virginica,5.292447449,,,1.5,0.4,,,,,22,1.55241747,4.205948169,5.292447449,2.41,17.69,28.01
1,0.2,setosa,1.019803903,,,,4.9,1.5,versicolor,5.12445119,,,,6.7,2,virginica,6.992138443,,,1,0.2,,,,,23,1.019803903,5.12445119,6.992138443,1.04,26.26,48.89
1.7,0.5,setosa,1.772004515,,,,4.7,1.2,versicolor,4.850773134,,,,4.9,1.8,virginica,5.220153254,,,1.7,0.5,,,,,24,1.772004515,4.850773134,5.220153254,3.14,23.53,27.25
1.9,0.2,setosa,1.910497317,,,,4.3,1.3,versicolor,4.492215489,,,,5.7,2.1,virginica,6.074537019,,,1.9,0.2,,,,,25,1.910497317,4.492215489,6.074537019,3.65,20.18,36.9
1.6,0.2,setosa,1.61245155,,,,4.4,1.4,versicolor,4.617358552,,,,6,1.8,virginica,6.264183905,,,1.6,0.2,,,,,26,1.61245155,4.617358552,6.264183905,2.6,21.32,39.24
1.6,0.4,setosa,1.64924225,,,,4.8,1.4,versicolor,5,,,,4.8,1.8,virginica,5.126402247,,,1.6,0.4,,,,,27,1.64924225,5,5.126402247,2.72,25,26.28
